"month","Average Snow Fall","Average Snow Depth)","Average Maximum Snow Depth"
1,"82.7592515592515593","45.6405634095634096","70.9153846153846154"
2,"73.9824488953128226","62.0051641544497212","84.9913276894486888"
3,"57.7733644859813084","53.4380012744265081","79.3846644010195412"
4,"31.2875502008032129","18.1097965194109772","37.9258366800535475"
5,"4.1965785381026439","0.86946189735614307932","5.2690513219284603"
6,"0.20055489496630994847","0.01550535077288941736","0.38049940546967895363"
7,"0.02484969939879759519","0.00025250501002004008","0.00761523046092184369"
8,"0.00559105431309904153","0.000035942492012779552716","0.00119808306709265176"
9,"0.31386861313868613139","0.01312716096811371494","0.24702266615443718786"
10,"7.3941158443150475","0.44565737051792828685","4.6699356420471958"
11,"35.2415329768270945","4.4957456922162805","19.9450386215092097"
12,"66.0681880670882596","20.7028265053615617","42.5669507836128677"
