"Country","Weather Station","longitude","latitude","elevation","hn_year_start","hn_year_end","hs_year_start","hs_year_end"
"FR_METEOFRANCE","Abries_rm","6.94100","44.78950","2020",1995,2019,1985,2019
"FR_METEOFRANCE","Agnieres_en_devoluy","5.87150","44.68783","1262",1968,2019,1968,2019
"FR_METEOFRANCE","Aigleton_nivose","6.03617","45.22533","2240",NULL,NULL,2005,2019
"FR_METEOFRANCE","Aiguilles_rouges_nivose","6.89150","45.98517","2365",NULL,NULL,1983,2019
"FR_METEOFRANCE","Aiguines","6.24033","43.77167","800",2001,2001,1971,2001
"FR_METEOFRANCE","Aiguines_sapc","6.24017","43.79000","563",2007,2018,2007,2019
"FR_METEOFRANCE","Albertville_jo","6.36983","45.65733","335",NULL,NULL,1996,1999
"FR_METEOFRANCE","Albiez","6.33800","45.20933","1540",1992,2019,1992,2019
"FR_METEOFRANCE","Allant_nivose","6.20717","45.65833","1684",NULL,NULL,2008,2019
"FR_METEOFRANCE","Allemond","6.03750","45.20200","1270",1959,2003,1962,2003
"FR_METEOFRANCE","Allos","6.62567","44.22267","1370",2002,2010,2002,2010
"FR_METEOFRANCE","Alpe_d_huez","6.08467","45.08600","1860",1988,2008,1988,2008
"FR_METEOFRANCE","Ancelle","6.20367","44.62117","1345",1992,2019,1992,2015
"FR_METEOFRANCE","Antibes_garoupe","7.12650","43.55883","75",2011,2019,1960,2019
"FR_METEOFRANCE","Areches","6.53767","45.66950","1209",1994,2019,1982,2019
"FR_METEOFRANCE","Arvieux_la_chalp","6.73533","44.77533","1690",1968,2019,1968,2019
"FR_METEOFRANCE","Auris","6.06667","45.02567","730",1986,2001,1986,2001
"FR_METEOFRANCE","Auris_en_oisans","6.07250","45.05433","1600",1994,2019,1986,2019
"FR_METEOFRANCE","Auron","6.90817","44.20917","1910",1994,2019,1982,2019
"FR_METEOFRANCE","Aussois","6.72633","45.24200","2166",1996,2018,1996,2018
"FR_METEOFRANCE","Aussois_clim","6.74000","45.22450","1467",1959,2017,1959,2017
"FR_METEOFRANCE","Autrans","5.55267","45.17650","1090",1960,2018,1963,2018
"FR_METEOFRANCE","Autrans_nivo","5.57533","45.22300","1260",2004,2017,2004,2017
"FR_METEOFRANCE","Avoriaz","6.77450","46.18500","1768",2000,2019,2000,2019
"FR_METEOFRANCE","Avrieux","6.71733","45.20867","1102",2009,2019,2005,2019
"FR_METEOFRANCE","Ayze","6.42550","46.07433","449",1990,2019,1990,2019
"FR_METEOFRANCE","Barcelonnette","6.66883","44.38800","1155",1959,2007,1959,2019
"FR_METEOFRANCE","Beaufort_sur_doron","6.56783","45.68800","1030",1959,2019,1959,2019
"FR_METEOFRANCE","Bellecote_nivose","6.76867","45.48733","3000",NULL,NULL,1993,2019
"FR_METEOFRANCE","Bernex","6.70483","46.33800","1535",2002,2019,2002,2019
"FR_METEOFRANCE","Bessans","6.99050","45.31900","1713",1993,2019,1980,2019
"FR_METEOFRANCE","Bessans_clim","6.99050","45.31900","1715",1959,2019,1959,2019
"FR_METEOFRANCE","Besse","6.16833","45.06917","1536",1980,2019,2000,2019
"FR_METEOFRANCE","Beuil_obs","6.98667","44.09050","1464",1990,2019,1986,2019
"FR_METEOFRANCE","Boege","6.39033","46.20800","750",1990,1993,1992,1993
"FR_METEOFRANCE","Bonneval_nivose","7.05067","45.35100","2740",NULL,NULL,2004,2019
"FR_METEOFRANCE","Bonneval_sur_arc","7.05433","45.37083","1830",1994,2019,1994,2019
"FR_METEOFRANCE","Bourg_d_oisans","6.17467","45.02467","730",1994,2001,1986,2001
"FR_METEOFRANCE","Bourg_st_maurice","6.75800","45.60767","865",1959,2016,1959,2019
"FR_METEOFRANCE","Bouvante","5.32067","44.95183","1089",1959,2018,1959,2018
